Security Code,Issuer Name,Security Id,Security Name,Face Value,Industry,Sector Name
531340,Bervin Investments And Leasing Ltd.,BERVINL,BERVIN INVESTMENT & LEASING LTD.,10,Other Financial Services,Financial Services
531341,"Gujarat Investa Ltd.,",GUJINV,GUJARAT INVESTA LTD.,10,Non Banking Financial Company (NBFC),Financial Services
531344,Container Corporation Of India Ltd.,CONCOR,CONTAINER CORPORATION OF INDIA LTD.,5,Logistics Solution Provider,Services
531346,Eastern Treads Ltd.,EASTRED,EASTERN TREADS LTD.,10,Tyres & Rubber Products,Consumer Discretionary
531349,Panacea Biotec Ltd.,PANACEABIO,PANACEA BIOTEC LTD.,1,Pharmaceuticals,Healthcare
531352,Peeti Securities Ltd.,PEETISEC,PEETI SECURITIES LTD.,10,Other Textile Products,Consumer Discretionary
531357,MERCURY EV-TECH LIMITED,MERCURYEV,Mercury Ev-Tech Ltd,1,Passenger Cars & Utility Vehicles,Consumer Discretionary
531358,Choice International Ltd,CHOICEIN,CHOICE INTERNATIONAL LTD.,10,Holding Company,Financial Services
531359,Shriram Asset Management Co.Ltd.,SRAMSET,SHRIRAM ASSET MANAGEMENT CO.LTD.,10,Asset Management Company,Financial Services
531360,Golechha Global Finance Ltd.,GOLECHA,GOLECHHA GLOBAL FINANCE LTD.,10,Diversified Commercial Services,Services
531364,Ekansh Concepts Limited,EKANSH,Ekansh Concepts Ltd,10,Consulting Services,Services
531370,SPARC ELECTREX LIMITED,SPAR,Sparc Electrex Ltd,10,Computers - Software & Consulting,Information Technology
531373,The Byke Hospitality    Ltd,THEBYKE,THE BYKE HOSPITALITY LTD.,10,Hotels & Resorts,Consumer Discretionary
531380,Centenial Surgical Suture Ltd.,CSURGSU,CENTENIAL SURGICAL SUTURE LTD.,10,Medical Equipment & Supplies,Healthcare
531381,Arihant Foundations & Housing Ltd.,ARIHANT,ARIHANT FOUNDATIONS & HOUSING LTD.-$,10,Residential- Commercial Projects,Consumer Discretionary
531387,Hasti Finance Ltd.,HASTIFIN,HASTI FINANCE LTD.,10,Non Banking Financial Company (NBFC),Financial Services
531390,Upsurge Investment And Finance Ltd.,UPSURGE,UPSURGE INVESTMENT & FINANCE LTD.,10,Non Banking Financial Company (NBFC),Financial Services
531395,Padam Cotton Yarns Ltd.,PADAMCO,PADAM COTTON YARNS LTD.,10,Other Textile Products,Consumer Discretionary
531396,Women Networks Ltd.,WOMENNET,WOMEN NETWORKS LTD.,10,Software Products,Information Technology
531397,Polycon International Ltd.,POLYCON,POLYCON INTERNATIONAL LTD.,10,Packaging,Industrials
531398,Source Natural Foods & Herbal Suppl Ltd,SOURCENTRL,SOURCE NATURAL FOODS & HERBAL SUPPL LTD.,10,Pharmaceuticals,Healthcare
531399,G.G.Automotive Gears Ltd.,GGAUTO,G.G.AUTOMOTIVE GEARS LTD.,10,Auto Components & Equipments,Consumer Discretionary
531400,Almondz Global Securities Limited,ALMONDZ,ALMONDZ GLOBAL SECURITIES LTD.,6,Stockbroking & Allied,Financial Services
531402,LWS Knitwear Ltd,LWSKNIT,LWS KNITWEAR LTD.,10,Trading & Distributors,Services
531406,ANS Limited,ANSINDUS,ANS Industries Ltd,10,Other Beverages,Fast Moving Consumer Goods
